,0
35063,210.67796992538183
35064,221.16991952442004
35065,222.49212239746785
35066,228.44506111629735
35067,231.91619969942357
35068,240.40560131318801
35069,243.2469400567691
35070,238.48455796370126
35071,235.4994018356876
35072,238.2957271019368
35073,244.51223926864492
35074,255.07231036101263
35075,256.4084109378072
35076,255.65781463629366
35077,261.67121799752437
35078,264.86696509049386
35079,267.367514955852
35080,273.89267571222666
35081,286.4776635219917
35082,300.5030077300333
35083,312.7968888188012
35084,324.2408340766005
35085,340.81131835377096
35086,351.00981608418687
35087,369.38995597952027
35088,373.1494278202793
35089,370.5650262465977
35090,361.98081504303127
35091,357.5750338958743
35092,349.62683350140753
35093,352.93190979156003
35094,359.2288720437243
35095,341.8270658492496
35096,344.9275944474248
35097,349.6609047792031
35098,355.4186914176766
35099,349.87265160708864
35100,365.88030866558665
35101,370.261276988143
35102,379.1741160190125
35103,390.94264586782873
35104,415.66508470272845
35105,427.5354700586711
35106,438.2404520398819
35107,453.56121557049727
35108,462.60620049330134
35109,472.3085846065935
35110,492.2327574535029
35111,496.0286208556521
35112,487.19502114618723
35113,468.9887027907071
35114,444.66503293336336
35115,449.09867201451067
35116,455.90849238913563
35117,462.648790447934
35118,462.2898657736065
35119,464.3034539176073
35120,460.7495361448981
35121,460.7125325781815
35122,455.4359195780863
35123,458.9047705630517
35124,469.37201247616247
35125,472.6634346162857
35126,474.4658657999608
35127,479.98345375202615
35128,491.20977720554015
35129,505.18123185208225
35130,521.4957041348549
35131,535.6152192854006
35132,547.2165344237569
35133,560.903922153967
35134,572.9458115205563
35135,579.0479550825127
35136,567.4480994032297
35137,563.6640150564948
35138,562.7702696044182
35139,565.5945532119266
35140,550.6382688010258
35141,541.8455048003049
35142,544.587173232594
35143,561.8180359091835
35144,562.8915689524371
35145,561.8147535027566
35146,574.0884966561102
35147,588.1494887136037
35148,596.3780183319936
35149,603.1006657101457
35150,627.7288973870923
35151,645.1985460554803
35152,659.895310389249
35153,670.335216885481
35154,700.006679666394
35155,728.3708896074327
35156,759.7501831418338
35157,740.1294141217205
35158,749.8302970122635
35159,734.9044161424174
35160,693.8097724236515
35161,671.6880345518855
35162,674.6827068510103
35163,669.378559507092
35164,647.7040709461525
35165,656.7307955969102
35166,654.1724594258004
35167,643.7960888604625
35168,661.5217683752916
35169,667.9911789530029
35170,670.194869963716
35171,627.7643018141343
35172,601.6094070315136
35173,597.4171130954709
35174,593.7126023511058
35175,596.3406860117577
35176,606.5695192438515
35177,613.3541641211294
35178,631.0564055182375
35179,639.9139865760604
35180,639.9569424541916
35181,658.1788227913537
35182,665.4425036703537
35183,669.9074153844936
35184,668.7558576136169
35185,677.6021484793969
35186,677.5616520028393
35187,680.8046759632304
35188,679.8704422177893
35189,677.5088562954421
35190,682.3481211277134
35191,692.064449281436
35192,704.3660162481353
35193,707.2457863122937
35194,701.4787900973389
35195,716.6988792039633
35196,727.6224087993647
35197,733.1070132489593
35198,752.4075445628816
35199,765.6171796943559
35200,791.7318737384082
35201,805.4617871487013
35202,831.3734104803688
35203,865.7650248286249
35204,895.2400582750868
35205,901.2383394073686
35206,901.6400139867037
35207,886.3307280829378
35208,879.4063306574502
35209,870.7074615174224
35210,852.8684586255038
35211,840.5320635153196
35212,818.3647948483814
35213,806.1277936004846
35214,815.7886493172257
35215,815.3724354839167
35216,815.6547527334686
35217,820.0770274535197
35218,809.3100739367017
35219,814.5792883273253
35220,806.4113067759573
35221,806.348443038602
35222,812.4302883173509
35223,785.0512656880658
35224,827.3898651025887
35225,833.1319833665427
35226,844.8518091122471
35227,855.0174870677021
35228,874.0205928348844
35229,884.7654093622461
35230,893.9718383732466
35231,905.3396549358549
35232,925.1809357362713
35233,923.5307208798677
35234,918.6532031896069
35235,962.2450404323392
35236,968.4346678749464
35237,937.7204200455805
35238,894.2117221574877
35239,907.0422148093181
35240,893.4590489011335
35241,860.1270225097378
35242,843.2771477894617
35243,851.0995208158237
35244,848.1926159328673
35245,882.9673464698566
35246,884.4712388603107
35247,879.5569139304997
35248,892.417759469303
35249,888.839177646349
35250,895.9234116905201
35251,926.9630978201656
35252,968.0693057469555
35253,981.2179559136391
35254,979.7673182299287
35255,970.237745910234
35256,953.6179769089521
35257,966.0041895739496
35258,948.6816163277812
35259,949.820771657022
35260,905.4584503636186
35261,888.2469903149565
35262,896.6079875879307
35263,897.8426704913735
35264,909.327667076009
35265,906.1038022791213
35266,950.4657432594726
